title,description,year,genre,type,cover_image
The Mouse Trap,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.",2024,"Horror, Thriller, Comedy",Movie,https://image.tmdb.org/t/p/w500//3ovFaFeojLFIl5ClqhtgYMDS8sE.jpg
The Ministry of Ungentlemanly Warfare,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",2024,"Action, Comedy, War",Movie,https://image.tmdb.org/t/p/w500//8aF0iAKH9MJMYAZdi0Slg77RYa2.jpg
Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",2005,"Adventure, Fantasy",Movie,https://image.tmdb.org/t/p/w500//fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021,"Science Fiction, Action, Adventure",Movie,https://image.tmdb.org/t/p/w500//1MJNcPZy46hIy2CmSqOeru0yr5C.jpg
Corpse Bride,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",2005,"Romance, Fantasy, Animation",Movie,https://image.tmdb.org/t/p/w500//isb2Qow76GpqYmsSyfdMfsYAjts.jpg
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014,"Adventure, Drama, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
My Spy The Eternal City,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear plot targeting the Vatican.",2024,"Action, Comedy",Movie,https://image.tmdb.org/t/p/w500//Bf3vCfM94bSJ1saZlyi0UW0e0U.jpg
One Fast Move,"A dishonorably discharged soldier seeks out his estranged father to help him pursue his dream of becoming a professional motorcycle racer. While training, he meets a small-town, aspiring singer and a motorcycle shop owner who begin to break down the walls his father's absence had built up.",2024,"Action, Drama, Romance",Movie,https://image.tmdb.org/t/p/w500//hdBUjfbdr1ymS0kycAT7qguOmWA.jpg
Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2022,"Action, Adventure, Family, Comedy",Movie,https://image.tmdb.org/t/p/w500//6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023,"Animation, Action, Adventure, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
His Three Daughters,Emotions run high when three estranged sisters reunite in a cramped New York City apartment to watch over their ailing father during his final days.,2024,"Drama, Comedy",Movie,https://image.tmdb.org/t/p/w500//yTIHBPLQyzhgz1c2spak3btJxsg.jpg
Untamed Royals,"A group of wealthy teenagers commit crimes that escalate from petty mischief to dangerous plots, causing chaotic consequences — but not for themselves.",2024,"Thriller, Crime, Drama",Movie,https://image.tmdb.org/t/p/w500//iEe9RODlNgobupiksZ2vE4TZwUg.jpg
Alice in Terrorland,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",2023,"Horror, Thriller",Movie,https://image.tmdb.org/t/p/w500//5XJGvr8g9jkmN6KUIOQOj2iE6K4.jpg
Lembayung,"Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.",2024,"Horror, Thriller",Movie,https://image.tmdb.org/t/p/w500//5x9LrW0yvtt6S3XovIQHgXfYvLL.jpg
Something in the Water,"After lesbian couple Meg and Kayla split following a traumatic homophobic incident, their three friends are intent on mending the rift during the wedding of Lizzie at a paradise resort. But a pre-wedding boat excursion turns to disaster and the wedding breakfast is likely to be the five girls!",2024,"Thriller, Horror",Movie,https://image.tmdb.org/t/p/w500//1iWGGxHEwswZGvPSoMZlLFf0PNq.jpg
